locality,price
Dottignies,335215.82608695654
Dour,196062.5
Drogenbos,366000.0
Drongen,536042.5
Duffel,426059.6052631579
Duinbergen,648214.2857142857
Duisburg,925000.0
Durbuy,476188.9
Dworp,420000.0
Ecaussinnes,298600.0
Edegem,430863.63636363635
Eeklo,351778.5714285714
Eernegem,169000.0
Eindhout,376750.0
Ekeren,318284.2105263158
Eksel,549000.0
Elewijt,503000.0
Ellezelles,512484.125
Ellignies-Sainte-Anne,399000.0
Elsene,695094.9626865672
Elverdinge,175000.0
Elversele,325000.0
Emblem,466238.3333333333
Embourg,435777.77777777775
Emelgem,399000.0
Ename,326333.3333333333
Enghien,550803.28
Engis,199525.0
Ensival,222333.33333333334
Eppegem,425000.0
Erembodegem,360656.25
Ernage,451800.0
Erpe,453522.3333333333
Erpe-Mere,551359.6666666666
Erpent,359500.0
Erps-Kwerps,524875.0
Erquelinnes,281224.5
Ertvelde,367633.3333333333
Escanaffles,149000.0
Esneux,276104.1666666667
Essen,495660.6666666667
Estaimbourg,357199.77777777775
Estaimpuis,360849.1666666667
Estinnes,432330.5
Estinnes-au-Mont,215000.0
Etterbeek,597317.7419354839
Eugies,455418.5
Eupen,249000.0
Everberg,686000.0
Evere,362925.5319148936
Evergem,403438.037037037
Faimes,350265.1666666667
Falaën,730750.0
Falisolle,313000.0
Falmignoul,398000.0
Familleureux,189000.0
Farciennes,182452.82352941178
Faulx-les-Tombes,408048.6666666667
Faymonville,289000.0
Fayt-lez-Manage,172999.5
Felenne,99000.0
Feluy,353333.0
Feneur,347500.0
Fernelmont,355000.0
Ferrières,332390.0
Fexhe-le-Haut-Clocher,352614.0
Filot,325000.0
Fize-Fontaine,214000.0
Flawinne,320000.0
Fleurus,245845.6923076923
Flobecq,715600.0
Floreffe,372603.8
Florennes,227959.5
Florenville,540000.0
Florée,155000.0
Flostoy,395000.0
Flémalle,295591.55
Flémalle-Grande,269000.0
Flénu,176600.0
Fléron,236833.33333333334
Folx-les-Caves,275000.0
Fontaine-l'Évêque,309345.0
Forchies-la-Marche,247582.61111111112
Forges,335080.0
Forville,895000.0
Forêt,220000.0
Fosses-la-Ville,498206.6666666667
Fraire,295000.0
Frameries,210389.3
Framont,189500.0
Francorchamps,449000.0
Franière,195000.0
Frasnes,185000.0
Frasnes-lez-Anvaing,599000.0
Frasnes-lez-Gosselies,372500.0
Froidchapelle,277624.9090909091
Froidmont,382280.6
Froyennes,750833.3333333334
Galmaarden,397000.0
Ganshoren,299620.0
Gaurain-Ramecroix,375885.14285714284
Gavere,375920.6956521739
Gedinne,343562.82352941175
Geel,337230.6935483871
Geer,316333.3333333333
Geetbets,410500.0
Gembloux,396772.7272727273
Genappe,398080.0
Genk,355327.77777777775
Genly,381969.5
Gent,457344.2148760331
Gentbrugge,476533.3333333333
Gentinnes,220000.0
Genval,668250.0
Geraardsbergen,372115.5888888889
Gerpinnes,344701.4736842105
Gesves,420602.75
Ghislenghien,511250.0
Ghlin,173000.0
Ghoy,369000.0
Gierle,449000.0
Gijzegem,358500.0
Gilly,169136.84210526315
Gimnée,265000.0
Gingelom,199000.0
Gistel,389264.51923076925
Givry,580000.0
Glabais,795000.0
Glain,206166.66666666666
Glons,330000.0
Godarville,184499.5
Godinne,357199.4
Goeferdinge,345000.0
Goesnes,467796.5
Gomzé-Andoumont,137000.0
Gooik,442000.0
Gooreind,612000.0
Gosselies,214107.0
Goutroux,213749.375
Gouvy,495000.0
Gouy-lez-Piéton,234369.75
Gozée,360908.5
Goé,152000.0
Grand-Hallet,460000.0
Grand-Halleux,460000.0
Grand-Leez,445000.0
Grand-Reng,240000.0
Grandrieu,369000.0
Grez-Doiceau,693278.275862069
Grimbergen,458919.5
Grimminge,368805.0
Grivegnée,222508.51063829788
Grobbendonk,330714.28571428574
Groot-Bijgaarden,430888.8888888889
Grote-Brogel,240000.0
Grâce-Berleur,250000.0
Grâce-Hollogne,267254.72222222225
Guigoven,399000.0
Gullegem,338833.3333333333
Gérouville,373000.0
Haacht,518975.0
Haaltert,325881.4117647059
Haasdonk,579000.0
Haasrode,357000.0
Habay,380000.0
Habay-la-Neuve,398000.0
Haccourt,261142.85714285713
Hacquegnies,595000.0
Haillot,310000.0
Haine-Saint-Paul,159499.75
Haine-Saint-Pierre,187817.63636363635
Hainin,375726.3333333333
Halanzy,262000.0
Halen,286154.28571428574
Hallaar,345000.0
Halle,360092.5925925926
Halma,289000.0
Ham,398333.3333333333
Ham-sur-Heure,403772.0
Ham-sur-Heure-Nalinnes,313500.0
Ham-sur-Sambre,299000.0
Hamipré,295000.0
Hamme,314959.7272727273
Hamme-Mille,1490000.0
Hamoir,335433.5416666667
Hamois,377701.3333333333
Hamont,255000.0
Hamont-Achel,443500.0
Han-sur-Lesse,259000.0
Handzame,293750.0
Hannut,313768.7826086957
Hansbeke,996000.0
Hanzinelle,197000.0
Hanzinne,340000.0
Harchies,135000.0
Harelbeke,487807.8
Haren,714500.0
Hargimont,209375.0
Harmignies,493000.0
Harzé,219000.0
Hasselt,359154.85714285716
Hastière,149666.66666666666
Hastière-Lavaux,135000.0
Haut-Fays,232500.0
Haut-Ittre,179000.0
Hautrage,288036.3333333333
Havay,370000.0
Havelange,317081.75
Havinnes,229000.0
Havré,395000.0
Hechtel,350636.4
Heer,293890.0
Heers,347000.0
Heffen,669000.0
Heist,560666.6666666666
Heist-op-den-Berg,380446.70588235295
Helchteren,179000.0
Helkijn,317500.0
Hemiksem,341875.0
Hennuyères,695000.0
Hensies,355000.0
Heppen,309000.0
Herbeumont,169000.0
Herent,455504.8181818182
Herentals,363970.34246575343
Herenthout,419333.3333333333
Herfelingen,497430.6
Herk-de-Stad,486333.3333333333
Hermalle-sous-Argenteau,351278.5714285714
Hermalle-sous-Huy,129000.0
Hermée,251833.33333333334
Herne,468562.3333333333
Herseaux,276640.0
Herselt,368300.0
Herstal,207179.4871794872
Herstappe,599000.0
Hertain,359000.0
Herve,424285.71428571426
Herzele,438582.8888888889
Heule,329000.0
Heure-le-Romain,162000.0
Heusden,363166.6666666667
Heusden-Zolder,385755.3191489362
Heusy,293800.0
Hever,670000.0
Heverlee,407823.5294117647
Hingene,285000.0
Hoboken,308958.3333333333
Hody,495000.0
Hoegaarden,170000.0
Hoeilaart,767870.8333333334
Hoeselt,314000.0
Hoevenen,399000.0
Hofstade,421000.0
Hogne,199000.0
Hognoul,296333.3333333333
Hollain,294267.0
Hollebeke,157500.0
Holsbeek,445000.0
Hombeek,515666.6666666667
Honnay,250000.0
Honnelles,437656.25
Hooglede,460934.4
Hoogstraten,345200.0
Horebeke,506997.25
Hornu,212500.0
Hotton,372000.0
Houdemont,326333.3333333333
Houdeng-Aimeries,197166.33333333334
Houdeng-Goegnies,205211.0
Houdremont,235000.0
Houffalize,286333.3333333333
Housse,155000.0
Houtain-Saint-Siméon,272800.0
Houtain-le-Val,195000.0
Houtaing,275000.0
Houthalen,275000.0
Houthalen-Helchteren,400496.875
Houthulst,365379.5
Houyet,291909.0909090909
Hove,414750.0
Huissignies,230000.0
