region,code,municipality
Flemish Region,3530,Houthalen-Helchteren
Flemish Region,3640,Kinrooi
Flemish Region,3650,Dilsen-Stokkem
Flemish Region,3665,As
Flemish Region,3732,Bilzen-Hoeselt
Flemish Region,3793,Fourons
Walloon Region,4217,Héron
Walloon Region,4347,Fexhe-le-Haut-Clocher
Walloon Region,4350,Remicourt
Walloon Region,4432,Ans
Walloon Region,4631,Soumagne
Walloon Region,7860,Lessines
Walloon Region,4681,Oupeye
Walloon Region,6781,Messancy
Brussels-Capital Region,1130,Bruxelles
Brussels-Capital Region,1180,Uccle
Walloon Region,1357,Hélécine
Walloon Region,1367,Ramillies
Flemish Region,1547,Biévène
Flemish Region,1750,Lennik
Flemish Region,2160,Wommelgem
Flemish Region,2322,Hoogstraten
Flemish Region,2450,Meerhout
Flemish Region,2811,Malines
Flemish Region,2900,Schoten
Flemish Region,3012,Louvain
Flemish Region,3201,Aarschot
Flemish Region,3211,Lubbeek
Flemish Region,3380,Glabbeek
Flemish Region,3472,Kortenaken
Flemish Region,3840,Tongeren-Borgloon
Walloon Region,4170,Comblain-au-Pont
Walloon Region,4351,Remicourt
Walloon Region,4480,Engis
Walloon Region,4670,Blegny
Walloon Region,4720,La Calamine
Walloon Region,4877,Olne
Walloon Region,5333,Assesse
Walloon Region,5650,Walcourt
Walloon Region,6041,Charleroi
Walloon Region,6043,Charleroi
Walloon Region,6200,Châtelet
Walloon Region,6460,Chimay
Walloon Region,6724,Habay
Walloon Region,6853,Paliseul
Walloon Region,6924,Wellin
Walloon Region,6997,Erezée
Walloon Region,7180,Seneffe
Walloon Region,7301,Boussu
Walloon Region,7321,Bernissart
Walloon Region,7740,Pecq
Walloon Region,7783,Comines-Warneton
Walloon Region,7870,Lens
Walloon Region,7950,Chièvres
Flemish Region,8370,Blankenberge
Flemish Region,8500,Courtrai
Flemish Region,8510,Courtrai
Flemish Region,8560,Wevelgem
Flemish Region,8581,Avelgem
Flemish Region,8792,Waregem
Flemish Region,8793,Waregem
Flemish Region,8830,Hooglede
Flemish Region,9031,Gand
Flemish Region,9280,Lebbeke
Flemish Region,9308,Alost
Flemish Region,9472,Denderleeuw
Flemish Region,9920,Lievegem
Flemish Region,9921,Lievegem
Flemish Region,9988,Sint-Laureins
Flemish Region,1602,Sint-Pieters-Leeuw
Flemish Region,3018,Louvain
Flemish Region,3470,Kortenaken
Walloon Region,4458,Juprelle
Walloon Region,5031,Gembloux
Walloon Region,5524,Onhaye
Walloon Region,5580,Rochefort
Walloon Region,6750,Musson
Walloon Region,6840,Neufchâteau
Walloon Region,4653,Herve
Walloon Region,4728,La Calamine
Walloon Region,7120,Estinnes
Flemish Region,8954,Heuvelland
Flemish Region,9060,Zelzate
Flemish Region,9551,Herzele
Walloon Region,7020,Mons
Walloon Region,7032,Mons
Walloon Region,7350,Hensies
Walloon Region,7542,Tournai
Flemish Region,8470,Gistel
Brussels-Capital Region,1080,Molenbeek-Saint-Jean
Walloon Region,1340,Ottignies-Louvain-la-Neuve
Flemish Region,1932,Zaventem
Flemish Region,2050,Anvers
Flemish Region,2180,Anvers
Flemish Region,2323,Hoogstraten
Flemish Region,2491,Balen
Flemish Region,2650,Edegem
Flemish Region,2920,Kalmthout
Flemish Region,3090,Overijse
Flemish Region,3111,Rotselaar
Flemish Region,3660,Oudsbergen
Flemish Region,3792,Fourons
Flemish Region,9910,Aalter
Walloon Region,6900,Marche-en-Famenne
Flemish Region,8431,Middelkerke
Flemish Region,8700,Tielt
Flemish Region,8770,Ingelmunster
Flemish Region,8851,Ardooie
Flemish Region,8870,Izegem
Flemish Region,1910,Kampenhout
Flemish Region,2030,Anvers
Flemish Region,2910,Essen
Flemish Region,3071,Kortenberg
Flemish Region,3210,Lubbeek
Flemish Region,3300,Tirlemont
Flemish Region,3720,Hasselt
Flemish Region,3980,Tessenderlo-Ham
Walloon Region,4690,Bassenge
Walloon Region,4771,Amblève
Walloon Region,4845,Jalhay
Walloon Region,6743,Etalle
Walloon Region,7131,Binche
Walloon Region,7780,Comines-Warneton
Flemish Region,8434,Middelkerke
Flemish Region,8480,Ichtegem
Flemish Region,2630,Aartselaar
Flemish Region,3060,Bertem
Flemish Region,3221,Holsbeek
Flemish Region,3320,Hoegaarden
Flemish Region,3384,Glabbeek
Flemish Region,3401,Landen
Flemish Region,3450,Geetbets
Flemish Region,3600,Genk
Flemish Region,3723,Hasselt
Walloon Region,4000,Liège
Walloon Region,4050,Chaudfontaine
Walloon Region,4121,Neupré
Walloon Region,4280,Hannut
Walloon Region,4460,Grâce-Hollogne
Walloon Region,4801,Verviers
Walloon Region,4890,Thimister-Clermont
Walloon Region,5032,Gembloux
Walloon Region,5060,Sambreville
Walloon Region,5374,Havelange
Brussels-Capital Region,1082,Berchem-Sainte-Agathe
Walloon Region,1320,Beauvechain
Walloon Region,1410,Waterloo
Flemish Region,1540,Pajottegem
Flemish Region,1560,Hoeilaart
Flemish Region,1630,Linkebeek
Walloon Region,6000,Charleroi
Flemish Region,1761,Roosdaal
Flemish Region,1780,Wemmel
Flemish Region,1804,Zemst
Flemish Region,2570,Duffel
Flemish Region,2580,Putte
Flemish Region,3130,Begijnendijk
Walloon Region,6780,Messancy
Flemish Region,3668,As
Flemish Region,3742,Bilzen-Hoeselt
Walloon Region,6941,Durbuy
Walloon Region,7021,Mons
Walloon Region,7031,Mons
Walloon Region,7160,Chapelle-lez-Herlaimont
Walloon Region,7191,Ecaussinnes
Walloon Region,7501,Tournai
Walloon Region,7700,Mouscron
Walloon Region,7800,Ath
Flemish Region,8490,Jabbeke
Flemish Region,8956,Heuvelland
Flemish Region,9111,Saint-Nicolas
Flemish Region,9270,Laarne
Walloon Region,7011,Mons
Flemish Region,9403,Ninove
Flemish Region,9520,Sint-Lievens-Houtem
Flemish Region,9772,Kruisem
Flemish Region,9982,Sint-Laureins
Walloon Region,7750,Mont-de-l’Enclus
Walloon Region,7803,Ath
Walloon Region,1402,Nivelles
Flemish Region,2100,Anvers
Flemish Region,2801,Malines
Flemish Region,3020,Herent
Flemish Region,3078,Kortenberg
Flemish Region,3200,Aarschot
Walloon Region,5170,Profondeville
Walloon Region,5564,Houyet
Walloon Region,6532,Thuin
Flemish Region,2242,Zandhoven
Flemish Region,2430,Laakdal
Brussels-Capital Region,1081,Koekelberg
Flemish Region,2990,Wuustwezel
Flemish Region,3010,Louvain
Flemish Region,3381,Glabbeek
Flemish Region,3500,Hasselt
Walloon Region,4102,Seraing
Walloon Region,4430,Ans
Flemish Region,2530,Boechout
Walloon Region,4600,Visé
Walloon Region,4623,Fléron
Walloon Region,4672,Blegny
Walloon Region,4800,Verviers
Walloon Region,4820,Dison
Walloon Region,5030,Gembloux
Walloon Region,5100,Namur
Walloon Region,5101,Namur
Walloon Region,5354,Ohey
Walloon Region,5377,Somme-Leuze
Walloon Region,5543,Hastière
Walloon Region,5544,Hastière
Walloon Region,5550,Vresse-sur-Semois
Walloon Region,6220,Fleurus
Walloon Region,6540,Lobbes
Walloon Region,6637,Fauvillers
Walloon Region,6441,Froidchapelle
Walloon Region,6543,Lobbes
Walloon Region,6591,Momignies
Walloon Region,6596,Momignies
Walloon Region,6661,Houffalize
Walloon Region,7602,Péruwelz
Walloon Region,7618,Rumes
Walloon Region,6671,Gouvy
Walloon Region,7810,Ath
Flemish Region,8582,Avelgem
Flemish Region,8790,Waregem
Walloon Region,6769,Meix-devant-Virton
Flemish Region,9040,Gand
Flemish Region,9120,Beveren-Kruibeke-Zwijndrecht
Flemish Region,9220,Hamme
Walloon Region,6834,Bouillon
Flemish Region,9750,Kruisem
Walloon Region,7330,Saint-Ghislain
Flemish Region,8906,Ypres
Flemish Region,8920,Langemark-Poelkapelle
Flemish Region,8940,Wervik
Flemish Region,8980,Zonnebeke
Flemish Region,9550,Herzele
Flemish Region,9571,Lierde
Flemish Region,9690,Kluisbergen
Flemish Region,9850,Deinze
Walloon Region,1315,Incourt
Flemish Region,1860,Meise
Flemish Region,1933,Zaventem
Flemish Region,2280,Grobbendonk
Flemish Region,2590,Berlaar
Flemish Region,2660,Anvers
Flemish Region,3054,Oud-Heverlee
Flemish Region,3540,Herck-la-Ville
Flemish Region,3583,Beringen
Flemish Region,3590,Diepenbeek
Walloon Region,1310,La Hulpe
Walloon Region,1350,Orp-Jauche
Flemish Region,1670,Pepingen
Flemish Region,1740,Ternat
Flemish Region,1741,Ternat
Flemish Region,1745,Opwijk
Flemish Region,1790,Affligem
Flemish Region,1980,Zemst
Flemish Region,2380,Ravels
Flemish Region,2387,Baerle-Duc
Flemish Region,2547,Lint
Flemish Region,2860,Sint-Katelijne-Waver
Flemish Region,3061,Bertem
Flemish Region,3391,Tielt-Winge
Flemish Region,3791,Fourons
Flemish Region,3971,Bourg-Léopold
Flemish Region,3990,Peer
Walloon Region,4030,Liège
Walloon Region,4040,Herstal
Walloon Region,4053,Chaudfontaine
Walloon Region,4122,Neupré
Walloon Region,4210,Burdinne
Walloon Region,4431,Ans
Walloon Region,4602,Visé
Walloon Region,4608,Dalhem
Walloon Region,4700,Eupen
Walloon Region,4721,La Calamine
Walloon Region,1401,Nivelles
